Fh_pos [kN],u_pos [mm],Fh_neg [kN],u_neg [mm]
0,0,0,0
1.5,8.19E-05,-27.42,-0.470382624
3.326,0.01414173,-34.78,-0.498813359
4.96,0.033498403,-35.97,-0.540301101
6.47,0.053455666,-37.12,-0.579005418
7.943,0.076255134,-38.22,-0.623833968
9.353,0.099151236,-39.18,-0.663972196
10.75,0.129340812,-40.09,-0.707508283
12.12,0.158434261,-41.04,-0.752484984
13.45,0.19766774,-41.94,-0.787016657
14.71,0.229552943,-41.38,-0.820022851
15.94,0.262882528,-41.46,-0.815936808
17.13,0.297903697,-39.23,-0.844487482
18.29,0.337043553,-45.73,-0.848546439
19.38,0.36424508,-46.36,-0.886049018
20.44,0.388378441,-46.83,-0.931051773
21.26,0.431494712,-47.48,-0.980888348
21.83,0.445545837,-47.85,-1.021839807
20.33,0.467177266,-48.29,-1.07640778
26.89,0.497740042,-48.6,-1.125417644
27.93,0.531917698,-48.88,-1.182038087
28.94,0.569347319,-49.16,-1.229506232
29.92,0.60569823,-49.47,-1.280499541
30.85,0.645486837,-49.85,-1.329181957
31.75,0.687308561,-50.04,-1.385064924
32.61,0.724812456,-50.3,-1.435601167
33.43,0.764795333,-50.5,-1.484979226
34.24,0.814377886,-50.63,-1.542068207
34.01,0.822970594,-50.79,-1.594405168
32.35,0.847968354,-50.86,-1.645492868
36.95,0.849298829,-50.96,-1.700714559
37.87,0.896402174,-51.17,-1.752935598
38.81,0.929088573,-51.36,-1.80355957
39.69,0.971047622,-50.96,-1.858139937
40.51,1.014289541,-50.02,-1.857211381
41.28,1.05038626,-47.7,-1.881937009
42.01,1.098797987,-50.2,-1.961115255
42.65,1.142257938,-50.61,-2.067883573
43.28,1.187445984,-50.96,-2.163443274
43.91,1.238206881,-51.31,-2.275578448
44.44,1.284468084,-51.28,-2.384262517
45.1,1.326281097,-51.55,-2.489491174
45.59,1.371363125,-51.77,-2.596919149
46.11,1.416202452,-50.8,-2.674119128
46.71,1.468475737,-49.34,-2.766729968
47.12,1.51523453,-46.08,-2.78354482
47.57,1.566593818,-47.84,-2.796163996
48.03,1.604496295,-48.23,-2.905607648
48.42,1.65731091,-48.52,-3.010228075
48.8,1.693839178,-48.78,-3.11405138
44.59,1.726038093,-49,-3.221194616
50.34,1.76988495,-49.17,-3.331355714
51.24,1.86578233,-49.32,-3.444936976
52.01,1.958412255,-49.44,-3.540596326
52.68,2.058921645,-45.65,-3.597832966
53.15,2.154789486,-44.95,-3.68081322
53.51,2.252311518,-45.38,-3.837476119
53.84,2.347687386,-45.69,-3.991259679
54.04,2.452181278,-45.98,-4.15644952
54.27,2.555835008,-46.2,-4.317890326
53.37,2.607948261,-45.59,-4.46704704
50.92,2.628478193,-42.38,-4.476857069
50.44,2.649463953,-42.75,-4.478455638
50.92,2.743506189,-41.36,-4.508641076
51.33,2.827941523,-41.85,-4.731738257
51.69,2.938250185,-42.24,-4.947526615
51.99,3.03229722,-42.55,-5.154069489
52.33,3.127351745,-41.68,-5.32049275
52.61,3.229682946,-38.83,-5.332182262
52.86,3.330039217,-39.16,-5.335475943
52.63,3.402441677,-39.05,-5.39944313
49.48,3.42990601,-36.58,-5.403981276
48.67,3.496405098,-38.17,-5.517969385
49.11,3.64145675,-38.63,-5.78387772
49.47,3.798564127,-39.05,-6.058594043
49.75,3.953079507,-39.39,-6.327516991
49.97,4.11146426,-39.67,-6.60078707
50.1,4.265603489,-39.85,-6.869805454
47.04,4.288263642,-39.49,-7.150293508
45.55,4.32759556,-38.59,-7.151426087
45.97,4.526574786,-37.16,-7.16211257
46.42,4.746024742,-34.06,-7.22205089
46.69,4.948550424,-35.31,-7.360348795
46.01,5.110571353,-35.69,-7.671733557
43.85,5.147665255,-35.93,-8.005054239
40.67,5.1520174,-36.12,-8.327596579
41.77,5.305323122,-36.31,-8.652551141
42.2,5.554446946,-35.77,-8.909881152
42.49,5.817036171,-33.56,-8.928227166
42.79,6.082563946,-33.53,-8.93540537
43,6.334839513,-30.79,-9.056315166
43.19,6.596845966,-32.47,-9.347625538
43.29,6.860291358,-32.63,-9.725695569
40.62,6.883366521,-32.75,-10.10447753
36.39,6.991881696,-32.92,-10.47662166
36.62,7.306801232,-32.65,-10.85882588
36.84,7.603281404,-27.93,-10.9622221
37.01,7.908259355,-28.05,-11.38091531
37.1,8.206304134,-28.15,-11.79502767
35.84,8.300102325,-28.23,-12.22516653
34.38,8.324072017,-28.22,-12.6464024
32.33,8.377157764,-28.25,-13.06902861
32.68,8.72625382,-27.04,-13.37977513
32.91,9.09091218,-23.41,-13.40253467
33.13,9.445995562,,
33.37,9.801780884,,
30.04,9.837381539,,
29.48,9.902672878,,
29.77,10.332806,,
29.84,10.76057934,,
29.94,11.18725921,,
30,11.61836781,,
30.17,12.04107812,,
30.25,12.45988111,,
30.3,12.8983835,,
30.39,13.33115383,,
29.75,13.51472823,,
25.91,13.543688,,
22.83,14.07614433,,
20.69,14.71765605,,
20.37,15.5615073,,
19.34,16.18398671,,
17.95,16.91558616,,
16.27,17.78121206,,
13.28,18.85070643,,
9.244,20.49774887,,
7.647,22.07440283,,
