Test unit,B-T-04-OR
Reference,Borri et al. (2001)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,0,0
0.01,2.6,0.001
0.01,4.5,0.001
0.02,5.7,0.002
0.03,7,0.003
0.03,8.2,0.004
0.04,9.9,0.005
0.05,11.6,0.006
0.07,13.3,0.008
0.08,14.5,0.009
0.08,15.3,0.009
0.1,16.9,0.011
0.13,19,0.014
0.14,20,0.015
0.16,21.1,0.018
0.17,22.8,0.019
0.19,24.4,0.021
0.21,25.5,0.023
0.22,27.1,0.025
0.24,27.8,0.026
0.24,27.9,0.027
0.25,28.9,0.028
0.27,30.1,0.03
0.31,31.4,0.034
0.31,32,0.034
0.33,32.6,0.037
0.36,34.2,0.04
0.38,34.9,0.042
0.42,36.7,0.047
0.45,38.1,0.05
0.48,39.8,0.054
0.51,41,0.057
0.55,42.2,0.061
0.56,43.3,0.062
0.57,44.2,0.064
0.59,45,0.066
0.62,45.6,0.069
0.64,46,0.071
0.65,45.4,0.072
0.65,47,0.072
0.66,48,0.074
0.68,49.1,0.075
0.69,48.1,0.076
0.7,49.5,0.078
0.72,50.7,0.08
0.73,50.4,0.081
0.77,50.4,0.086
0.78,51.1,0.087
0.8,51.7,0.088
0.82,52.2,0.091
0.84,52.2,0.094
0.85,52.7,0.095
0.86,53.3,0.096
0.9,53.6,0.1
0.92,53.8,0.103
0.95,53.5,0.106
0.98,54.7,0.108
1.02,54.9,0.113
1.03,56,0.115
1.05,57,0.116
1.07,57,0.119
1.1,57.9,0.122
1.14,58,0.127
1.15,58.7,0.128
1.19,59.4,0.132
1.22,59.1,0.136
1.25,60.2,0.139
1.29,60.9,0.143
1.31,61,0.146
1.33,61.5,0.148
1.35,61.5,0.15
1.36,62.1,0.151
1.38,62.1,0.154
1.41,63,0.156
1.44,63,0.16
1.46,63.9,0.162
1.49,64.5,0.166
1.5,64.2,0.167
1.51,65,0.168
1.55,66.5,0.172
1.59,67.9,0.177
1.61,68.3,0.178
1.62,68,0.18
1.68,68,0.187
1.72,69,0.191
1.75,69.1,0.194
1.79,69.9,0.199
1.81,70.2,0.201
1.82,70.6,0.202
1.87,70.6,0.208
1.89,70.4,0.21
1.92,71.2,0.214
1.96,72,0.218
2.01,72.9,0.223
2.04,73.1,0.226
2.08,73.3,0.231
2.1,73.4,0.233
2.11,74.1,0.235
2.14,74.7,0.238
2.18,74.9,0.242
2.21,74.9,0.245
2.25,74.7,0.25
2.27,74.3,0.252
2.29,73.4,0.254
2.3,75,0.255
2.31,75.9,0.256
2.32,76.6,0.257
2.35,77.2,0.261
2.37,78.7,0.263
2.39,80.1,0.266
2.42,80.6,0.269
2.46,80.3,0.273
2.51,80.3,0.279
2.56,81.1,0.285
2.6,81.7,0.289
2.66,82.1,0.295
2.71,82.1,0.301
2.79,82.3,0.31
2.86,82.5,0.317
2.92,82.6,0.325
2.99,82.8,0.333
3.03,82.9,0.336
3.07,82.8,0.341
3.13,82.8,0.348
3.18,83,0.354
3.25,83.1,0.361
3.27,83,0.364
3.35,83.1,0.372
3.41,83.2,0.379
3.48,83.2,0.387
3.52,83.1,0.391
3.56,83.3,0.396
3.65,83.4,0.405
3.69,83.3,0.41
3.71,83.6,0.412
3.73,84,0.414
3.74,84.8,0.416
3.76,85.1,0.418
3.79,85,0.421
3.8,84.9,0.422
3.82,85.2,0.425
3.85,85.7,0.428
3.89,85.6,0.432
3.93,85.5,0.437
3.95,85.8,0.438
4.01,85.8,0.445
4.07,85.7,0.452
4.11,86,0.457
4.18,86,0.464
4.22,86.3,0.468
4.29,86.6,0.476
4.32,87.4,0.48
4.35,87.4,0.483
4.37,88,0.486
4.41,88,0.49
4.44,87.7,0.494
4.46,88.3,0.496
4.48,89.3,0.498
4.52,89.4,0.502
4.55,89,0.506
4.6,88.7,0.511
4.64,88.4,0.516
4.68,88,0.52
4.71,88.3,0.523
4.73,88.9,0.526
4.76,89.1,0.529
4.79,89.1,0.533
4.85,88.5,0.539
4.93,88,0.547
4.97,87.8,0.552
5,87.6,0.556
5.03,87.2,0.559
5.07,87,0.564
5.15,86.6,0.573
5.23,86.2,0.581
5.28,86.1,0.587
5.34,85.9,0.593
5.39,85.8,0.598
5.42,85.7,0.603
5.43,85.4,0.604
5.45,84.9,0.606
5.48,84.5,0.609
5.52,84.4,0.613
5.55,84.5,0.616
5.58,84.7,0.619
5.59,84.8,0.621
5.61,84.3,0.623
5.61,83.4,0.624
5.62,82.2,0.625
